ProductModelID,Name,Description
76,HL Road Seat/Saddle 1,Replacement rear wheel for entry-level cyclist.
84,HL Road Seat/Saddle 2,Lightweight kevlar racing saddle. Leather.
90,HL Road Tire,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.
7,HL Touring Frame,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.
48,HL Touring Handlebars,A light yet stiff aluminum bar for long distance riding.
67,HL Touring Seat/Saddle,Cut-out shell for a more comfortable ride.
107,Hydration Pack,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt."
95,LL Bottom Bracket,Chromoly steel.
99,LL Crankset,Super rigid spindle.
104,LL Fork,Stout design absorbs shock and offers more precise steering.
59,LL Headset,Threadless headset provides quality at an economical price.
8,LL Mountain Frame,"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
42,LL Mountain Front Wheel,Replacement mountain wheel for entry-level rider.
52,LL Mountain Handlebars,All-purpose bar for on or off-road.
62,LL Mountain Pedal,Expanded platform so you can ride in any shoes; great for all-around riding.
123,LL Mountain Rear Wheel,Replacement mountain wheel for entry-level rider.
71,LL Mountain Seat/Saddle 1,Refillable shoes; polished aluminum calipers.
79,LL Mountain Seat/Saddle 2,Synthetic leather. Features gel for increased comfort.
85,LL Mountain Tire,"Comparible traction, less expensive wire bead casing."
9,LL Road Frame,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
49,LL Road Front Wheel,Replacement road front wheel for entry-level cyclist.
56,LL Road Handlebars,Unique shape provides easier reach to the levers.
68,LL Road Pedal,Clipless pedals - aluminum.
126,LL Road Rear Wheel,Replacement road rear wheel for entry-level cyclist.
82,LL Road Seat/Saddle 1,Lightweight foam-padded saddle.
74,LL Road Seat/Saddle 2,Replacement rear mountain wheel for the casual to serious rider.
88,LL Road Tire,Same great treads as more expensive tire with a less expensive wire bead casing.
10,LL Touring Frame,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.
47,LL Touring Handlebars,Unique shape reduces fatigue for entry level riders.
66,LL Touring Seat/Saddle,"Comfortable, ergonomically shaped gel saddle."
11,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey
12,Men's Bib-Shorts,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers."
13,Men's Sports Shorts,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.
116,Minipump,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.
96,ML Bottom Bracket,Aluminum alloy cups; large diameter spindle.
100,ML Crankset,High-strength crank arm.
105,ML Fork,Composite road fork with an aluminum steerer tube.
60,ML Headset,Sealed cartridge keeps dirt out.
14,ML Mountain Frame,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
15,ML Mountain Frame-W,The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
45,ML Mountain Front Wheel,Replacement mountain wheel for the casual to serious rider.
54,ML Mountain Handlebars,Tough aluminum alloy bars for downhill.
63,ML Mountain Pedal,"Lightweight, durable, clipless pedal with adjustable tension."
124,ML Mountain Rear Wheel,Replacement mountain wheel for the casual to serious rider.
72,ML Mountain Seat/Saddle 1,10-speed aluminum derailleur with sealed pulley bearings.
80,ML Mountain Seat/Saddle 2,Designed to absorb shock.
86,ML Mountain Tire,"Great traction, high-density rubber."
16,ML Road Frame,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
17,ML Road Frame-W,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
50,ML Road Front Wheel,Sturdy alloy features a quick-release hub.
57,ML Road Handlebars,Anatomically shaped aluminum tube bar will suit all riders.
69,ML Road Pedal,Lightweight aluminum alloy construction.
77,ML Road Rear Wheel,Aluminum alloy rim with stainless steel spokes; built for speed.
75,ML Road Seat/Saddle 1,Extra-strong rims guarantee durability.
83,ML Road Seat/Saddle 2,Rubber bumpers absorb bumps.
89,ML Road Tire,Higher density rubber.
65,ML Touring Seat/Saddle,New design relieves pressure for long rides.
18,Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.
112,Mountain Bottle Cage,Tough aluminum cage holds bottle securly on tough terrain.
117,Mountain Pump,Simple and light-weight. Emergency patches stored in handle.
92,Mountain Tire Tube,Self-sealing tube.
19,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
20,Mountain-200,Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
21,Mountain-300,For true trail addicts.  An extremely durable bike that will go anywhere and keep you in control on challenging terrain - without breaking your budget.
39,Mountain-400,Suitable for any type of off-road trip. Fits any budget.
22,Mountain-400-W,"This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road."
23,Mountain-500,"Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride."
114,Patch kit,"Includes 8 different size patches, glue and sandpaper."
24,Racing Socks,"Thin, lightweight and durable with cuffs that stay up."
127,Rear Derailleur,Wide-link design.
113,Road Bottle Cage,Aluminum cage is lighter than our mountain version; perfect for long distance trips.
93,Road Tire Tube,Conventional all-purpose tube.
25,Road-150,"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
26,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
41,Road-350,"Cross-train, race, or just socialize on a sleek, aerodynamic bike.  Advanced seat technology provides comfort all day."
27,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
28,Road-450,"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
40,Road-550,Same technology as all of our Road series bikes.  Perfect all-around bike for road or racing.
29,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
30,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
31,Road-750,Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
32,Short-Sleeve Classic Jersey,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets."
33,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor."
108,Taillight,Affordable light for safe night riding - uses 3 AAA batteries
44,Touring Front Wheel,Aerodynamic rims for smooth riding.
53,Touring Pedal,A stable pedal for all-day riding.
43,Touring Rear Wheel,Excellent aerodynamic rims guarantee a smooth ride.
91,Touring Tire,High-density rubber.
94,Touring Tire Tube,General purpose tube.
34,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
35,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
36,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
120,Touring-Panniers,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips."
111,Water Bottle,AWC logo water bottle - holds 30 oz; leak-proof.
37,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort."
38,Women's Tights,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.
